Review	Score
This the second set of strap locks that I've owned. They are a little difficult to attach to the strap if the thickness of the strap is a bit on the thicker side. The quick release and secure connection are great.	1
"First of all I want to say I love a tube amp distortion.  Overdriven tubes are just how its meant to be.  I run a Randall G3 hybrid amp and it destroys any solid state I've used or heard.  For recording I use a Peavey 5150 and its so sweet.  Tubes are how guitar was meant to be heard.Recently I started playing with a band that required a dirty tone that I felt like could only be achieved through a pedal.  There is absolutely nothing wrong with using distortion pedals, I used the DOD death metal for years when I first started playing.  However, there is a downside.  Go cheap and you get a piece of crap that makes your rig sound like an old AM radio, if you want something that sounds pro quality your going to shell out at least $250.  Quality dist. pedals are not budget friendly.I chose the MT-2 because I know Boss makes a quality product and it was the pedal the other guitarist was using.  It gives a variety of sounds.  It can be set up for an overdriven light distortion sound or full blown high gain metal tones.  The controls make it very tweakable and I have gotten a load of very nice sounds out of it.  Read the included book, look up some MP3s over videos online and check out other guitarists' settings.  It will help you tame this pedal into what you want.  Perfect pedal for those not wanting to spend a whole lot.  There are also mods you can buy and install in the pedal or buy preinstalled from certain dealers that open it up to even more shaping and make it more useful.I've seen a lot of complaints about the pedal sounding like nothing but fuzz.  I must say learn how to shape sound, spend time dialing it in to your rig.  Within 10 minutes I was pleased with the MT-2.  I used it on my overdrive channel to push it harder and got a really thick, heavy distortion with a good response.I say the MT-2 is worth an investment if you're looking for a big distortion sound from a little pedal.  Surely something guitarists should consider adding to their board."	1
"i only bought with the idea that a ""FULL"" version of behringer's sequence program came with it....needless to says its a ""compact version"" and for you OTHER iMac/OS X Users out there????----aint worth yer timeyer better off spending your money on Vst's Au's that will WORK with OSX and Cubase or garageband....other than that its another interface ""i guess"" as long as you want to use RCA plugs to do that with...who the !$%^ uses RCA to interface there analog instruments to their puter????based on the software hustle im sorta sour but if yer a PC/Windows owner I would GET IT!!!!its about the cheapest way to ""intro"" yer way in to DAW/DAT interface..... Mainly im talkning to Katz who ownnewer Macs/iMacs who are truying to muddle your way thru music digital interface and Keyboard sequencingfor THOSE users yer better off buying a pizza probably..."	0
"If you're like me, you probably bought this to hook up an XLR microphone to a digital recorder or a PC.It works fine for the handy type recorders.But forget hooking this directly to a PC.  Way too much noise."	1
"Didn't know what to expect for under $10, but it proved to be worth the gamble.This cable appears to be well constructed and it works fine for me(amateur use, infrequent setup/teardowns).It's a decent 15 feet long, and has a locking button on the female end.I'm quite happy with it."	1
"I've been using these straplocks for over 10 years now and never had a guitar or bass break free on me either live or in the studio...they simply work and cost next to nothing to boot. Folks, this is the best insurance you can buy for protecting you precious instrument from popping off of you strap, even if you do some serious gymnastics on stage it's not going anywhere. This is a must have, just buy it!"	1
"I've been playing guitar for over 40 years, and these Tortex picks are nearly the worst I'v ever used.  They are so noisy that they overpower the guitar strings with their clackity-clack noise.  Dunlop Ultex picks sound much better."	0
"I have finally learned my lesson.I have purchased a number of these over the last year or two.. and previously had the same opinion as reviewers that say ""good for static applications"" as the cable conductors are prone to breakage, even along the length of the cable, not just at the connectors...But they are dirt cheap so i figured that was ok.But now, after recently buying and installing a cable from a mic in a sound booth to a digital mixer I checked it out and it seemed to work.A week later an acoustic duet came to record and the mic cable made the singer sound like she was singing behind a curtain.. yup..the cable.So by all means buy these on price, but when you get your items..please fully check them out.. a simple ""does it work yes/no"" is clearly not good enough, as i learned"	0
"A loud hum will crescendo in every few minutes even if the ground is lifted.  Works great in intervals though, too bad those intervals are minutes."	0
"I actually replaced a BOSS TR2 with this pedal. Does everything it is supposed to do without the ""perceived"" (that's was they say) volume loss typical of many tremolo pedals. If it's perceived, then how do you explain how good this sounds? I have since had the pedal rehoused in a metal enclosure with a better switch because I was scared of breaking its plastic housing when switching it on and off."	1
"Hosa products are a good bang for the buck. I haven't looked up the specifications, but I'm guessing the wire is 22 to 24 AWG, but since it's only 10' long, it's good enough."	1
"This adapter cable for stereo mics to work with small DV cameras will function but with caveats.First, it's construction is pretty light weight. That means you will have to be ""gentle"" with it when using it. That's something none of us in the broadcast production field want to worry about since our gear gets pretty beat up.Second, the adapter only has a one foot in length cable on it. This is pretty short and may not reach to wherever the mic input jack is on your camera. That means you would need another short XLR mic cable to extend from the mic to this adapter.So just be aware that this may work fine for some and not work at all for others. I went to Sam Ash music and found a similar adapter cable, heavy duty, and with a longer cable for the same price. It pays to shop around!"	1
"I use this to hold my picks on my acoustic guitar. Got tired of losing picks in mid jam, digging through pockets, scavenging for another pick. Now it's right there."	1
Sound is not so good. Strange how the gain has to be turned up along with the volume to hear anything.	0
"These little patch cables work nicely, there's no change to your tone or sound and they connect one pedal to another just fine..I'm only going to make one small complaint and explain why it got 4 stars instead of 5. The product description says 6 inches, right? If you jump over to these (http://www.amazon.com/gp/product/B001PGXKC8/ref=oh_details_o04_s00_i02?ie=UTF8&psc;=1) planet waves patch cables they're listed at .5 feet (same as 6 inches, right?) The Hosa cables seem more like maybe 4 inches, whereas the planet waves cables gave me plenty of room from one pedal to another. I only used the Hosa cable as an emergency back up.To conclude, would I recommend these? Yes, if you have one or two pedals and need an affordable small and effective patch cable, go for these. But my first recommendation will always be planet waves cables over anything else."	1
Could not get to fit small sound hole. Once in sound hole pickup did not work at all. Would not buy it.	0
I've got a MXR MC404 CAE for my concert line pedals... but this one is the one I use for local gigs and home use with Fender Telecaster and Hot Rod.	1
